load_scenario_idx,Generation,Load,Losses
82.0,55174.827857641554,54511.34162847993,663.4862291616228
83.0,49448.81111042809,48885.01926857957,563.7918418485206
84.0,52950.73616158027,52239.51054928921,711.2256122910621
85.0,54392.32421290256,53689.8162457228,702.5079671797575
86.0,48849.566796428444,48207.164915119945,642.4018813084986
87.0,49934.519675438954,49325.9737937262,608.545881712751
88.0,52016.93212880988,51338.9841651942,677.947963615683
89.0,51896.60588677509,51197.508089229384,699.0977975457063
90.0,51792.008727163644,51143.212625833265,648.7961013303793
91.0,51335.57739796964,50649.50091074364,686.076487225997
92.0,57667.74908681793,56898.01328926261,769.7357975553168
93.0,53115.90211557529,52424.36948456963,691.5326310056626
94.0,52843.06414740316,52133.199710904104,709.8644364990541
95.0,52292.31988924696,51535.92277546168,756.3971137852786
96.0,56251.09291681696,55434.161304349946,816.9316124670149
97.0,46265.669789160354,45708.39140912039,557.2783800399629
98.0,50278.783286736514,49611.18595799337,667.5973287431407
99.0,48898.324716491225,48266.812829038055,631.511887453169
